year,day_of_week,hour_of_day,num_rides
2015,4,13,71876
2017,4,10,105556
2018,2,9,162793
2018,3,9,190810
2014,4,10,48137
2015,5,8,155430
2019,6,8,280213
2016,4,8,236564
2017,5,16,166415
2015,3,17,159162
2016,2,14,99024
2017,7,10,125881
2016,7,13,145114
2018,6,17,258496
2017,7,17,152166
2016,3,21,69876
2014,2,7,60875
2015,5,13,72636
2016,5,16,139660
2014,1,15,88016
2017,5,18,267017
2013,5,15,40349
2020,4,14,168806
2020,7,13,264249
2015,3,18,158118
2014,5,15,64166
2014,3,12,55339
2015,3,16,96233
2014,4,16,78732
2018,7,14,194625
2016,4,16,142248
2017,5,13,119110
2016,1,13,134338
2019,5,12,136723
2020,3,17,289225
2017,1,10,113318
2016,5,6,59616
2016,5,11,85107
2016,2,15,106232
2017,5,21,83571
2020,3,15,183480
2020,6,14,177709
2016,5,23,35557
2018,3,8,280346
2019,4,9,233840
2020,2,16,204083
2013,2,11,28726
2017,2,21,73822
2017,4,18,282201
2015,2,16,97365
2016,1,18,111301
2016,6,7,107724
2020,3,9,145056
2017,4,17,280811
2016,2,13,94001
2020,7,16,278757
2015,2,21,46892
2017,3,7,151058
2017,6,9,168124
2017,2,17,251604
2015,3,12,63518
2016,3,15,104530
2020,1,7,34960
2017,1,21,59516
2020,1,14,270762
2017,3,15,116537
2013,2,15,40033
2017,5,9,178047
2018,3,16,167965
2017,3,22,56629
2017,5,11,97986
2018,4,14,128700
2017,2,13,108945
2016,6,16,161304
2019,6,10,134154
2018,4,19,186394
2021,1,14,15305
2018,5,8,274816
2019,6,9,217804
2015,3,11,54642
2018,5,12,123823
2020,5,14,166337
2020,4,20,133775
2017,1,9,77787
2017,5,12,115272
2019,3,17,338387
2020,5,9,136121
2021,5,7,7936
2016,4,18,234592
2019,1,14,202807
2020,4,10,116950
2017,4,7,155930
2017,7,11,152894
2016,7,23,34190
2018,7,19,117568
2018,7,11,167892
2018,5,18,275078
2017,2,11,86145
2017,1,23,28230
2016,5,13,101233
2019,1,8,57785
2016,5,17,226471
2016,7,9,75427
2020,1,10,148232
2018,5,17,275450
2021,7,13,18438
2019,5,16,193303
2019,4,15,158559
2016,1,17,127972
2017,4,14,126692
2018,6,20,102186
2016,5,18,223939
2017,7,14,167156
2019,4,20,138447
2018,5,7,154504
2017,6,16,185373
2018,1,20,82460
2020,6,11,120073
